name,classes,controllers,size,stars,forks,language,subscribers,open_issues,user,repo,gpt_Clustering_Method,gpt_CHM,gpt_CHD,gpt_IFN,gpt_CMQ,gpt_ccoh,gpt_ccop,gpt_SMQ,gpt_scoh,gpt_scop,gpt_SERVICES,gpt_time,o_Clustering_Method,o_CHM,o_CHD,o_IFN,o_CMQ,o_ccoh,o_ccop,o_SMQ,o_scoh,o_scop,o_SERVICES,o_time
amit-an/webapp_war_sample,334,105,7994,2,2,Java,0,0,amit-an,webapp_war_sample,KMeans_77,0.74930923,0.721898883,1.592592593,0.810104976,0.810183467,7.85E-05,0.115517625,0.137682952,0.022165327,77,672.53,KMeans_72,0.683325165,0.62281661,1.622641509,0.772119668,0.772222222,0.000102554,0.155011234,0.186160714,0.03114948,72,164.12
SupermePower/zammc-manage,119,18,4059,2,0,JavaScript,1,0,SupermePower,zammc-manage,KMeans_56,0.555602241,1,1,0.791570107,0.791666667,9.66E-05,0.243465909,0.276785714,0.033319805,56,360.61,KMeans_59,0.555602241,1,1,0.790871298,0.790960452,8.92E-05,0.219961524,0.255649718,0.035688194,59,107.33
dtdhehe/ptu-life,66,12,5615,2,0,HTML,0,0,dtdhehe,ptu-life,KMeans_28,0.893939394,0.851515152,1.090909091,0.904285994,0.904761905,0.000475911,0.052505879,0.214285714,0.161779835,28,229.52,KMeans_31,0.909722222,0.8625,1,0.870574633,0.870967742,0.000393109,0.075,0.241935484,0.166935484,31,67.29
lancelee98/PeopleMange,182,22,5014,2,1,Java,0,0,lancelee98,PeopleMange,KMeans_72,0.854114453,0.577371459,1,0.879611568,0.87962963,1.81E-05,0.120462746,0.164351852,0.043889106,72,372.39,KMeans_79,0.854114453,0.577371459,1,0.898719324,0.898734177,1.49E-05,0.106702369,0.14556962,0.038867251,79,109.57
jeezhau/ec-server,149,20,1244,2,0,Java,1,0,jeezhau,ec-server,KMeans_71,0.766970121,0.658809323,1,0.791483387,0.791549296,6.59E-05,0.16724279,0.246244132,0.079001341,71,467.33,KMeans_71,0.766970121,0.658809323,1,0.730915959,0.730985916,7.00E-05,0.211227923,0.3,0.088772077,71,137.77
litbo/hospitalzj,185,26,6518,2,0,JavaScript,0,0,litbo,hospitalzj,KMeans_60,0.605831668,0.878636592,1,0.82439497,0.824444444,4.95E-05,0.330732894,0.343333333,0.012600439,60,458.15,KMeans_58,0.605831668,0.878636592,1,0.759713022,0.759770115,5.71E-05,0.400610002,0.412356322,0.01174632,58,122.21
fawks96/pet-hospital,74,11,28850,2,1,Java,0,5,fawks96,pet-hospital,KMeans_37,0.714285714,0.718253968,1,0.71765749,0.718146718,0.000489228,0.257951404,0.25997426,0.002022856,37,318.53,KMeans_34,0.714285714,0.718253968,1,0.668096822,0.668627451,0.000530629,0.350143593,0.352941177,0.002797584,34,100.77
xabaohui/zis,553,135,1591,2,1,Java,1,24,xabaohui,zis,KMeans_79,0.639291994,0.681763867,1.489795918,0.630653692,0.630679713,2.60E-05,0.294076043,0.300669058,0.006593015,79,1426.97,KMeans_79,0.618713855,0.667420943,1.489795918,0.619692461,0.619718586,2.61E-05,0.291940257,0.299553063,0.007612806,79,333.11
RoyZeng/gmhx,402,60,3584,2,2,Java,1,0,RoyZeng,gmhx,KMeans_79,0.726888388,0.927544963,1.71875,0.71837806,0.718446008,6.79E-05,0.350001272,0.351650461,0.001649189,79,1549.66,KMeans_79,0.725646847,0.934310568,1.833333333,0.736905379,0.736982597,7.72E-05,0.356133,0.358342732,0.002209732,79,388.95
eea/eionet.webq,196,21,25967,2,3,Java,50,3,eea,eionet.webq,KMeans_64,0.668073593,0.674444516,1,0.942673395,0.942708333,3.49E-05,0.142660797,0.180989583,0.038328786,64,349.48,KMeans_61,0.668073593,0.674444516,1,0.926197856,0.926229508,3.17E-05,0.138010018,0.174043716,0.036033698,61,107.45
Maxcj/Maxcj,177,23,13468,2,0,JavaScript,0,2,Maxcj,Maxcj,KMeans_78,0.904123534,0.458118452,1,0.884603076,0.884615385,1.23E-05,0.170343545,0.22008547,0.049741925,78,411.04,KMeans_75,0.904123534,0.458118452,1,0.831096307,0.831111111,1.48E-05,0.199617117,0.248888889,0.049271772,75,123.3
qwe7783131/CareerDevelopment,193,37,2167,2,0,HTML,0,2,qwe7783131,CareerDevelopment,KMeans_77,0.973571712,0.694355737,1.103448276,0.894789247,0.894867038,7.78E-05,0.271524835,0.286425479,0.014900644,77,565.22,KMeans_64,0.959770115,0.673993893,1.103448276,0.81826135,0.818377976,0.000116627,0.338296407,0.349720982,0.011424576,64,153.2
zhaowei520/CDCXH,236,33,68563,2,1,Java,0,1,zhaowei520,CDCXH,KMeans_78,0.430852745,0.726755169,1.19047619,0.61802114,0.618070818,4.97E-05,0.240746284,0.275259463,0.034513179,78,633.91,KMeans_78,0.433686517,0.721631754,1.25,0.614517747,0.61456044,4.27E-05,0.241581203,0.281761294,0.040180091,78,176.45
JavaFX-Point-of-Sales-master/JavaFX-Point-of-Sales-master,55,0,0,0,0,java,0,0,JavaFX-Point-of-Sales-master,JavaFX-Point-of-Sales-master,KMeans_26,0.79833937,0.598381386,1.692307692,0.860714793,0.861538462,0.000823669,0.17308547,0.187179487,0.014094017,26,258.554626,KMeans_25,0.795726343,0.593397409,1.466666667,0.828233333,0.829333333,0.0011,0.145981482,0.165333333,0.019351852,25,68.95548081
spring-petclinic-main/spring-petclinic-main,23,0,0,0,0,Java,0,0,spring-petclinic-main,spring-petclinic-main,KMeans_5,0.660087719,0.849715883,1.5,0.59952381,0.60952381,0.01,0.296428571,0.328571429,0.032142857,5,101.286541,KMeans_5,0.586147186,0.780537862,1.2,0.403333333,0.413333333,0.01,0.238333333,0.413333333,0.175,5,35.3976512
jforum3-master/jforum3-master,232,0,0,0,0,java,0,0,jforum3-master,jforum3-master,KMeans_79,0.910323734,0.653418535,1.086956522,0.787590403,0.787605784,1.54E-05,0.203201207,0.211316391,0.008115184,79,769.5570672,KMeans_52,0.932823129,0.709087547,1.19047619,0.669958141,0.669992834,3.47E-05,0.258051597,0.267916438,0.009864841,52,253.3991911
