name,classes,controllers,size,stars,forks,language,subscribers,open_issues,user,repo,gpt_Clustering_Method,gpt_CHM,gpt_CHD,gpt_IFN,gpt_CMQ,gpt_ccoh,gpt_ccop,gpt_SMQ,gpt_scoh,gpt_scop,gpt_SERVICES,gpt_time,o_Clustering_Method,o_CHM,o_CHD,o_IFN,o_CMQ,o_ccoh,o_ccop,o_SMQ,o_scoh,o_scop,o_SERVICES,o_time
wang007/live-server,238,23,6130,6,5,JavaScript,4,0,wang007,live-server,KMeans_78,0.68877551,0.760891634,1.047619048,0.777804785,0.777838828,3.40E-05,0.256205023,0.26687095,0.010665926,78,721.8,KMeans_79,0.706547619,0.778936216,1.1,0.753422819,0.753455897,3.31E-05,0.244559748,0.258077155,0.013517407,79,160.34
zxwgdft/paladin-boot,328,17,97803,6,0,JavaScript,1,0,zxwgdft,paladin-boot,KMeans_72,0.185863095,0.539937642,1,0.668569307,0.668578644,9.34E-06,0.350941423,0.35757676,0.006635337,72,862.16,KMeans_75,0.185863095,0.539937642,1,0.674632237,0.674643275,1.10E-05,0.346267688,0.354961571,0.008693882,75,180.57
shenshaoming/byte_easy,55,12,13225,5,4,JavaScript,1,0,shenshaoming,byte_easy,KMeans_15,0.685714286,0.908786848,1,0.837188209,0.84,0.002811791,0.249365079,0.316666667,0.067301587,15,185.69,KMeans_19,0.685714286,0.908786848,1,0.910160391,0.912280702,0.002120311,0.145224172,0.236842105,0.091617934,19,43.29
nimble-platform/business-process-service,222,47,2798,5,3,Java,5,16,nimble-platform,business-process-service,KMeans_77,0.743571429,0.697362434,1.08,0.888250533,0.888287092,3.66E-05,0.062774641,0.1545061,0.091731459,77,574.98,KMeans_79,0.763049451,0.72823311,1.038461538,0.872961438,0.872995781,3.43E-05,0.086898419,0.158122363,0.071223944,79,153.88
codemky/uni,615,89,1444,5,0,Java,2,2,codemky,uni,KMeans_73,0.662221083,0.967557736,2.179487179,0.278090498,0.278452047,0.00036155,0.207804411,0.208246705,0.000442294,73,3204.26,KMeans_76,0.689437999,0.992107904,3.863636364,0.287644583,0.287978594,0.00033401,0.215166564,0.215750063,0.0005835,76,783.16
aramsoft/aramcomp,345,72,21307,5,5,Java,1,1,aramsoft,aramcomp,KMeans_78,0.681441246,0.92349257,1.101694915,0.567208366,0.567338217,0.000129851,0.326993047,0.342094017,0.01510097,78,1066.83,KMeans_79,0.675469927,0.918342059,1.120689655,0.565556566,0.565682138,0.000125572,0.327658927,0.347026321,0.019367394,79,242.18
bao17634/Warehouse-system,76,13,1787,5,1,JavaScript,1,1,bao17634,Warehouse-system,KMeans_26,0.782275132,0.818570484,1,0.736885996,0.737179487,0.000293491,0.194807692,0.237820513,0.043012821,26,245.15,KMeans_33,0.782275132,0.818570484,1,0.787713786,0.787878788,0.000165002,0.124684343,0.207070707,0.082386364,33,83.05
shigenwang/membership,153,18,60199,5,7,Java,1,0,shigenwang,membership,KMeans_76,0.87,0.94952381,1,0.570523669,0.570614035,9.04E-05,0.275022417,0.297368421,0.022346004,76,635.9,KMeans_76,0.869897959,0.921525753,1.071428571,0.545449563,0.545551378,1.02E-04,0.313685046,0.331296993,0.017611947,76,167
sfx478076717/goldenarches,56,11,18294,4,0,Java,0,0,sfx478076717,goldenarches,KMeans_28,0.837142857,0.957653061,1,0.821001652,0.821428571,0.00042692,0.256834215,0.357142857,0.100308642,28,220.9,KMeans_23,0.846296296,0.960090703,1.111111111,0.767475407,0.768115942,0.000640535,0.299681599,0.376811594,0.077129996,23,65.96
dp2-g56/Dp2-L02,245,40,1002,4,1,Java,2,0,dp2-g56,Dp2-L02,KMeans_78,0.724354593,0.533050429,1.636363636,0.695014288,0.695153564,0.000139277,0.22169812,0.236688312,0.014990192,78,682.12,KMeans_77,0.76320647,0.554511732,1.5,0.693101997,0.693207586,0.000105589,0.230872859,0.25197382,0.021100961,77,171.02
wangwang1230/te-empl,156,24,29367,4,5,Java,1,0,wangwang1230,te-empl,KMeans_76,0.874900794,0.968339002,1,0.907825916,0.907894737,6.88E-05,0.100438597,0.171052632,0.070614035,76,368.8,KMeans_67,0.874900794,0.968339002,1,0.83075065,0.830845771,9.51E-05,0.17076235,0.223880597,0.053118247,67,111.72
