name,classes,controllers,size,stars,forks,language,subscribers,open_issues,user,repo,gpt_Clustering_Method,gpt_CHM,gpt_CHD,gpt_IFN,gpt_CMQ,gpt_ccoh,gpt_ccop,gpt_SMQ,gpt_scoh,gpt_scop,gpt_SERVICES,gpt_time,o_Clustering_Method,o_CHM,o_CHD,o_IFN,o_CMQ,o_ccoh,o_ccop,o_SMQ,o_scoh,o_scop,o_SERVICES,o_time,Clustering_Method,W_CHM,W_CHD,W_IFN,W_CMQ,W_ccoh,W_ccop,W_SMQ,W_scoh,W_scop,W_SERVICES,W_time,t_CHM,t_CHD,t_IFN,t_CMQ,t_ccoh,t_ccop,t_SMQ,t_scoh,t_scop,t_SERVICES,t_clustering_names,t_time
bao17634/Warehouse-system,76,13,1787,5,1,JavaScript,1,1,bao17634,Warehouse-system,KMeans_26,0.7822751323,0.8185704837,1,0.7368859961,0.7371794872,0.000293491,0.1948076923,0.2378205128,0.043012821,26,245.15,KMeans_33,0.7822751323,0.8185704837,1,0.7877137856,0.7878787879,0.000165002,0.1246843434,0.2070707071,0.082386364,33,83.05,KMeans_36,0.782275132,0.818570484,1,0.792464097,0.792592593,0.000128496,0.064365079,0.181944444,0.117579365,KMeans_36,40.23,0.709089726,0.474838201,1.5,0.427751323,0.43515873,0.007407407,0.208720238,0.245873016,0.037152778,10,L,24.26
shigenwang/membership,153,18,60199,5,7,Java,1,0,shigenwang,membership,KMeans_76,0.87,0.9495238095,1,0.5705236688,0.5706140351,9.04E-05,0.2750224172,0.2973684211,0.0223460039,76,635.9,KMeans_76,0.8698979592,0.9215257532,1.071428571,0.545449563,0.5455513784,1.02E-04,0.3136850459,0.3312969925,0.01761194653,76,167,KMeans_76,0.87,0.94952381,1,0.53649311,0.536591479,9.84E-05,0.327239522,0.349342105,0.022102583,KMeans_76,111.15,0.703931254,0.18481437,1.666666667,0.25198424,0.256469694,0.004485454,0.182462783,0.186681291,0.004218508,18,L,25.9
sfx478076717/goldenarches,56,11,18294,4,0,Java,0,0,sfx478076717,goldenarches,KMeans_28,0.837142857,0.9576530612,1,0.8210016517,0.8214285714,0.00042692,0.2568342152,0.3571428571,0.100308642,28,220.9,KMeans_23,0.8462962963,0.9600907029,1.111111111,0.7674754071,0.768115942,0.000640535,0.2996815986,0.3768115942,0.077129996,23,65.96,KMeans_24,0.837142857,0.957653061,1,0.777147658,0.777777778,0.00063012,0.241772343,0.353472222,0.111699879,KMeans_24,32.76,0.584097384,0.311493624,2.5,0.228837719,0.312171053,0.083333333,0.077419949,0.157392716,0.079972767,4,L,23.28
dp2-g56/Dp2-L02,245,40,1002,4,1,Java,2,0,dp2-g56,Dp2-L02,KMeans_78,0.7243545928,0.5330504291,1.636363636,0.6950142875,0.6951535644,0.000139277,0.22169812,0.2366883117,0.01499019164,78,682.12,KMeans_77,0.7632064695,0.5545117322,1.5,0.6931019968,0.6932075861,0.000105589,0.2308728585,0.2519738198,0.02110096132,77,171.02,KMeans_79,0.801075269,0.586825003,1.161290323,0.731269083,0.731327656,5.86E-05,0.049409678,0.247450976,0.198041298,KMeans_79,115.02,0.844077478,0.196264689,4,0.176979664,0.196112317,0.019132653,0.132593271,0.149120846,0.016527575,8,L,26.49
wangwang1230/te-empl,156,24,29367,4,5,Java,1,0,wangwang1230,te-empl,KMeans_76,0.8749007937,0.9683390023,1,0.907825916,0.9078947368,6.88E-05,0.1004385965,0.1710526316,0.070614035,76,368.8,KMeans_67,0.8749007937,0.9683390023,1,0.8307506504,0.8308457711,9.51E-05,0.1707623499,0.223880597,0.053118247,67,111.72,KMeans_78,0.850290152,0.955846101,1.333333333,0.903779953,0.903846154,6.62E-05,-0.035511711,0.088247863,0.123759574,KMeans_78,69.54,0.843281914,0.954157485,4,0.421648907,0.43950605,0.017857143,0.150100189,0.176491078,0.026390889,8,L,24.46
ElectiveTeam/elective_system,97,15,3692,4,0,JavaScript,1,0,ElectiveTeam,elective_system,KMeans_46,0.6789321789,0.9050482146,1.181818182,0.7150670961,0.7152173913,1.50E-04,0.2402608696,0.2561594203,0.015898551,46,355.9,KMeans_45,0.664021164,0.935920047,1.083333333,0.6722013789,0.6723809524,1.80E-04,0.2811223345,0.3061904762,0.02506814173,45,115.27,KMeans_42,0.63003663,0.918406593,1,0.579129014,0.579365079,0.000236065,0.275158085,0.321428571,0.046270487,KMeans_42,79.78,0.689277389,0.697836015,3.25,0.461662949,0.468935676,0.007272727,0.263250007,0.26732162,0.004071612,11,L,24.68
75193982/HyLMS,535,141,13852,4,6,Java,0,0,75193982,HyLMS,KMeans_79,0.8524449438,0.9771194821,1.348484848,0.592809446,0.5930161342,0.000206688,0.2968746495,0.3040458476,0.007171198,79,1555.88,KMeans_79,0.8520348113,0.9787182976,1.483333333,0.555963168,0.5561770197,0.000213852,0.3074231893,0.312746954,0.005323765,79,397.32,KMeans_77,0.856987482,0.976023666,1.435483871,0.504278696,0.504552014,0.000273317,0.262527657,0.285470194,0.022942536,KMeans_77,319.27,0.850917698,0.975047842,3.068965517,0.443567594,0.445667199,0.002099605,0.187993917,0.192451872,0.004457955,28,L,34.31
next-step/jwp-jdbc,117,16,2932,4,40,Java,7,1,next-step,jwp-jdbc,KMeans_27,1,1,1,0.925382099,0.9259259259,0.000543827,0.096509972,0.1296296296,0.033119658,27,173.12,KMeans_28,1,1,1,0.8922412586,0.8928571429,0.000615884,0.092592593,0.125,0.03240740741,28,45.27,KMeans_27,1,1,1,0.962532772,0.962962963,0.000430191,0.028846154,0.074074074,0.04522792,KMeans_27,27.15,0.958333333,0.833333333,1.333333333,0.701040564,0.703015873,0.001975309,0.189792769,0.193531746,0.003738977,10,L,23.02
KongZouXiang/TradeSteward,232,40,13484,4,1,JavaScript,1,1,KongZouXiang,TradeSteward,KMeans_73,0.6097458965,0.7048739852,1,0.7401450021,0.7401826484,3.76E-05,0.2945327034,0.3255707763,0.03103807289,73,597.07,KMeans_79,0.6097458965,0.7048739852,1,0.7316156515,0.7316455696,2.99E-05,0.2851793249,0.3082278481,0.023048523,79,148.1,KMeans_70,0.609745896,0.704873985,1,7.53E-01,0.753015873,4.70E-05,0.275588912,0.300396825,0.024807914,KMeans_70,106.3,0.596108978,0.293505153,1.777777778,0.518910296,0.520361543,0.001451247,0.226678435,0.228319033,0.001640597,21,L,25.66
skyisbule/nanfeng,71,13,5421,4,3,Java,0,2,skyisbule,nanfeng,KMeans_35,0.782051282,0.9230769231,1,0.5308212697,0.5314285714,0.000607302,0.311890756,0.32,0.008109244,35,377.5,KMeans_33,0.782051282,0.9230769231,1,0.5558661903,0.5565656566,0.000699466,0.309335543,0.3171717172,0.007836174,33,142.05,KMeans_34,0.782051282,0.923076923,1,0.418864327,0.419607843,0.000743516,0.422036542,0.425980392,0.00394385,KMeans_34,104.9,0.693162393,0.243467643,1,0.309696283,0.317859548,0.008163265,0.229995619,0.230548341,0.000552721,15,L,25.69
mingslife/LightCMS,103,17,7736,4,0,JavaScript,1,0,mingslife,LightCMS,KMeans_48,0.5961538462,0.7201465201,1,0.9512450644,0.9513888889,0.000143825,0.1171690307,0.1631944444,0.04602541371,48,274.62,KMeans_38,0.5961538462,0.7201465201,1,0.833068263,0.8333333333,0.00026507,0.2633949739,0.2850877193,0.02169274538,38,84.16,KMeans_37,0.596153846,0.72014652,1,0.797042538,0.797297297,0.000254759,0.152673507,0.198198198,0.045524691,KMeans_37,44.5,0.698272407,0.114333814,1.444444444,0.490326643,0.49759937,0.007272727,0.313085399,0.313715073,0.000629673,11,L,24.45
yaowuya/lprapm,105,26,57665,4,0,JavaScript,1,1,yaowuya,lprapm,KMeans_51,0.6248905432,0.6435260058,2.142857143,0.7874728181,0.7875816993,1.09E-04,0.2200599129,0.2475490196,0.02748910675,51,343.57,KMeans_47,0.6116854319,0.62325869,2.5,0.743832999,0.7439716312,1.39E-04,0.2344395621,0.2609929078,0.026553346,47,113.53,KMeans_50,0.626017665,0.741087963,1.25,0.653193392,0.653333333,0.000139942,0.234886621,0.271666667,0.036780045,KMeans_50,81.86,0.688288634,0.745491602,1.153846154,0.414280561,0.41489899,0.000618429,0.327464211,0.343867244,0.016403033,22,L,24.4
yShen868/ssm03,94,14,2169,4,1,JavaScript,1,5,yShen868,ssm03,KMeans_44,0.6086245104,0.7479940172,1,0.6739664207,0.6742424242,2.76E-04,0.27011393,0.3257575758,0.055643646,44,294.01,KMeans_46,0.6086245104,0.7479940172,1,0.6664491587,0.6666666667,2.18E-04,0.2821121846,0.3260869565,0.043974772,46,96.52,KMeans_42,0.60862451,0.747994017,1,7.34E-01,0.734126984,0.000267091,0.19018583,0.246031746,0.055845916,KMeans_42,47.1,0.466989389,0.537876759,1.75,0.520915073,0.529310134,0.008395062,0.241022803,0.245788028,0.004765225,10,L,24.12
dagilmore/Riddlin,51,12,25836,4,0,Java,1,0,dagilmore,Riddlin,KMeans_21,1,0.638888889,1,0.9042857143,0.9047619048,0.00047619,0.1652116402,0.2777777778,0.1125661376,21,177.58,KMeans_21,1,0.638888889,1,0.8344671202,0.834920635,0.000453515,0.2031084656,0.2492063492,0.0460978836,21,48.99,KMeans_12,1,0.638888889,1,0.784733701,0.786111111,0.00137741,0.278956229,0.323611111,0.044654882,KMeans_12,29.23,0.946296296,0.42962963,1.333333333,0.738321995,0.742857143,0.004535147,0.291071429,0.292261905,0.001190476,7,L,23.11
chenzhq/WsMonitor,246,16,4520,4,2,JavaScript,2,8,chenzhq,WsMonitor,KMeans_78,0.9212962963,0.7148809524,1.25,0.689392498,0.6894202203,2.77E-05,0.2531336465,0.260384006,0.007250359,78,783.8,KMeans_77,0.8222222222,0.6578571429,1.5,0.7616113681,0.761636831,2.55E-05,0.2113241436,0.2218797574,0.01055561383,77,206.66,KMeans_76,0.919444444,0.633333333,1.25,0.659975241,0.660012421,3.72E-05,0.237013296,0.271104845,0.034091549,KMeans_76,151.6,0.866614765,0.478570866,1.875,0.33499683,0.335512494,0.000515664,0.241622387,0.249924735,0.008302348,29,L,26.58
parkkyoung/f4mall,59,15,15349,4,0,JavaScript,0,0,parkkyoung,f4mall,KMeans_15,0.975,1,1.076923077,0.6919198791,0.6951851852,0.003265306,0.275842152,0.3061111111,0.03026895944,15,232.95,KMeans_17,0.9910714286,1,1,0.6655973664,0.6683006536,0.002703287,0.2721269063,0.321078431,0.048951525,17,65.49,KMeans_25,0.991071429,1,1,0.660666667,0.661333333,0.000666667,0.121194444,0.208,0.086805556,KMeans_25,31.32,0.85658046,0.852198787,1.4,0.517035147,0.53234127,0.015306122,0.329098462,0.335069444,0.005970982,8,L,23.3
zhouweiwei18/HospitalSystem,210,29,30769,3,8,JavaScript,1,5,zhouweiwei18,HospitalSystem,KMeans_79,0.518821675,0.788476874,1.272727273,0.4308919991,0.431002612,0.000110613,0.3519141041,0.3526012665,0.000687162,79,1068.07,KMeans_75,0.5409082761,0.7041515733,1.473684211,0.4598463132,0.4599707187,0.000124405,0.3113557604,0.3116738835,0.000318123,75,321.13,KMeans_78,0.502465986,0.918650794,1,0.378428432,0.378596318,0.000167886,0.310563139,0.311538462,0.000975323,KMeans_78,285.94,0.475578872,0.663411745,1.647058824,0.204589812,0.20674035,0.002150538,0.187212128,0.187316151,0.000104023,31,L,28.16
uq-eresearch/lorestore,85,11,2095,3,3,JavaScript,3,12,uq-eresearch,lorestore,KMeans_27,0.4583333333,0.25,1,0.7774855724,0.7777777778,0.000292205,0.1000712251,0.1851851852,0.08511396,27,173.51,KMeans_35,0.4583333333,0.25,1,0.942690488,0.9428571429,0.000166655,-0.09789916,0.028571429,0.1264705882,35,47.77,KMeans_36,0.458333333,0.25,1,0.97207357,0.972222222,0.000148652,-0.11031746,0.013888889,0.124206349,KMeans_36,29.49,0.744654882,0.03464591,1.333333333,0.238452709,0.241666667,0.003213958,0.32996633,0.408796296,0.078829966,12,L,23.66
isa-group/ideas-studio,115,20,9401,3,5,JavaScript,11,100,isa-group,ideas-studio,KMeans_49,0.768452381,0.6334935897,1,0.959124381,0.9591836735,5.93E-05,0.058956916,0.1326530612,0.073696145,49,252.25,KMeans_36,0.7978306878,0.6209116809,1.066666667,0.8795238095,0.8796296296,0.00010582,0.1664021164,0.2222222222,0.05582010582,36,89.62,KMeans_56,0.797830688,0.620911681,1.066666667,0.999957413,1,4.26E-05,-0.020698052,0.071428571,0.092126623,KMeans_56,41.72,0.739077961,0.203052476,2.666666667,0.448434343,0.457323232,0.008888889,0.241296296,0.262752525,0.021456229,6,L,24.17
smartcommunitylab/smartcampus.vas.corsi.web,65,13,1828,3,0,JavaScript,33,0,smartcommunitylab,smartcampus.vas.corsi.web,KMeans_31,0.5617216117,0.893627052,1,0.7189617297,0.7193548387,0.000393109,1.45E-01,2.76E-01,1.32E-01,31,266.69,KMeans_29,0.5617216117,0.893627052,1,0.7293875933,0.7298850575,0.000497464,1.39E-01,2.61E-01,1.23E-01,29,88.36,KMeans_31,0.561721612,0.893627052,1,0.655483871,0.655913978,0.000430108,0.131839904,0.260752688,0.128912784,KMeans_31,42.52,0.385117738,0.526837501,2.166666667,0.363224533,0.370877595,0.007653061,0.275067482,0.299604701,0.024537219,8,L,24.09
xiongzhenhai-zh/produce-project-managerment,113,14,2409,3,0,Java,0,0,xiongzhenhai-zh,produce-project-managerment,KMeans_48,0.7673412698,1,1,0.8366098599,0.8368055556,0.000195696,0.2216749163,0.2732638889,0.051588973,48,368.43,KMeans_39,0.7673412698,1,1,0.8303958797,0.8307692308,0.000373351,0.2597702054,0.2974358974,0.03766569201,39,139.12,KMeans_55,0.76734127,1,1,0.841650852,0.841818182,0.00016733,0.146694725,0.225757576,0.079062851,KMeans_55,102.86,0.737742504,0.973494583,1.111111111,0.553682137,0.568003124,0.014320988,0.207586664,0.220747953,0.013161289,10,L,24.31
XMFBee/AuthPlatform1,281,63,13445,3,0,JavaScript,0,0,XMFBee,AuthPlatform1,KMeans_74,0.5562850434,0.6945900328,1.276595745,0.7582958396,0.758402071,0.000106231,0.2354126323,0.2624202937,0.0270076614,74,791.87,KMeans_77,0.572854971,0.698518147,1.363636364,0.7220433175,0.7221510092,0.000107692,0.310601562,0.3305335357,0.019931974,77,215.27,KMeans_79,0.558364612,0.732351949,1.132075472,0.673754818,0.673884077,0.000129259,0.21122825,0.288607595,0.077379345,KMeans_79,179.89,0.621908156,0.646550918,1.935483871,0.465945448,0.469103343,0.003157895,0.182239289,0.193884982,0.011645692,20,L,28.22
scrumtracker/scrumtracker2017,44,13,69555,3,2,Java,5,1,scrumtracker,scrumtracker2017,KMeans_14,0.9233963007,0.8294375938,1,0.9522783078,0.9595238095,0.007245502,0.1329029304,0.2333333333,0.1004304029,14,168.1,KMeans_16,0.9233963007,0.8294375938,1,0.9729861111,0.9791666667,0.006180556,0.080671296,0.1979166667,0.1172453704,16,45.82,KMeans_12,0.859214595,0.752381525,1.571428571,0.854040404,0.866666667,0.012626263,0.03493266,0.236111111,0.201178451,KMeans_12,27.92,0.46026936,0.330826775,11,0.771960784,0.851960784,0.08,-0.685189724,0.173529412,0.858719136,5,L,22.87
danbaixidanbai/OCproject,77,15,1889,3,0,JavaScript,0,2,danbaixidanbai,OCproject,KMeans_38,1,0.4113306983,1,0.9383820071,0.9385964912,0.000214484,0.1724355935,0.2368421053,0.064406512,38,247.44,KMeans_38,1,0.4113306983,1,0.9208482646,0.9210526316,0.000204367,0.1559585902,0.2236842105,0.06772562,38,79.75,KMeans_35,1,0.411330698,1,0.90634748,0.906666667,0.000319186,0.121769374,0.194285714,0.07251634,KMeans_35,36.6,0.990740741,0.314769128,1.555555556,0.61186067,0.61957672,0.007716049,0.288589579,0.300428892,0.011839313,9,L,23.18
CrazyZhao/zblog,63,13,3603,3,1,HTML,1,0,CrazyZhao,zblog,KMeans_30,0.858974359,0.775030525,1,0.8327097371,0.8333333333,0.000623596,0.1631864623,0.25,0.086813538,30,220.04,KMeans_31,0.858974359,0.775030525,1,0.8166169499,0.8172043011,0.000587351,0.1446833931,0.2419354839,0.097252091,31,57.61,KMeans_30,0.858974359,0.775030525,1,0.865932091,0.866666667,0.000734575,0.089112388,0.222222222,0.133109834,KMeans_30,34.46,0.765188651,0.626448307,2.166666667,0.532536403,0.540800866,0.008264463,0.34106241,0.388474026,0.047411616,11,L,23.22
holagoldfish/H5APP-java,39,15,239,3,1,Java,0,0,holagoldfish,H5APP-java,KMeans_17,0.95,0.938095238,1,0.847505767,0.8490196078,0.001513841,0.146609477,0.2666666667,0.1200571895,17,172.39,KMeans_16,0.95,0.938095238,1,0.8377083333,0.8395833333,0.001875,0.1589583333,0.278125,0.1191666667,16,45.58,KMeans_17,0.95,0.938095238,1,0.782691753,0.784313725,0.001621972,0.026654412,0.200980392,0.17432598,KMeans_17,28.29,0.711111111,0.345079365,1,0.521904762,0.53968254,0.017777778,-0.007936508,0.255291005,0.263227513,6,L,23.06
orgqy88cckz/AccumulationFund,134,28,3919,3,0,JavaScript,0,0,orgqy88cckz,AccumulationFund,KMeans_61,1,0.2700494865,1,0.9698942936,0.9699453552,5.11E-05,0.4845286885,0.4846994536,0.000170765,61,465.34,KMeans_61,1,0.275691673,1.037037037,0.9698942936,0.9699453552,5.11E-05,0.4845286885,0.4846994536,0.000170765,61,133.93,KMeans_65,1,0.243014282,1.037037037,9.51E-01,0.950915751,4.02E-05,0.414051053,0.419047619,0.004996566,KMeans_65,63.03,0.99156746,0.203722956,1,0.953500552,0.953551913,5.14E-05,0.491678051,0.491803279,0.000125228,61,L,23.52
LiJiuRi/jie_you_ba,102,18,4748,3,1,Java,0,0,LiJiuRi,jie_you_ba,KMeans_42,0.7583333333,0.7777777778,1,0.8346009354,0.8349206349,0.0003197,0.331037876,0.3535714286,0.02253355272,42,322.61,KMeans_50,0.7583333333,0.7777777778,1,0.8831267527,0.8833333333,0.000206581,0.2967403628,0.3266666667,0.02992630385,50,142.12,KMeans_34,0.758333333,0.777777778,1,0.76200476,0.762745098,0.000740338,0.355390919,0.393627451,0.038236532,KMeans_34,49.29,0.589121989,0.367570763,1.636363636,0.501216793,0.507616986,0.006400193,0.286450256,0.292524737,0.006074481,14,L,23.28
RMHM/miniMap,83,12,17285,3,0,JavaScript,0,0,RMHM,miniMap,KMeans_33,0.7878639335,0.8253715375,1,0.7313972722,0.7316017316,0.000204459,0.2475967826,0.2738455988,0.02624881629,33,324.95,KMeans_34,0.7878639335,0.8253715375,1,0.702785483,0.7029411765,0.000155693,0.270694692,0.307843137,0.037148445,34,96.71,KMeans_41,0.787863933,0.825371538,1,0.877952112,0.87804878,9.67E-05,0.089126016,0.170731707,0.081605691,KMeans_41,46.63,0.791998503,0.408722509,1.833333333,0.340249614,0.351587482,0.011337868,0.296509266,0.300348002,0.003838736,7,L,24.36
nullcodeexecutor/pts,174,27,3020,2,0,JavaScript,1,0,nullcodeexecutor,pts,KMeans_76,0.9206349206,0.1919191919,1.19047619,0.772290243,0.7723684211,7.82E-05,0.3263333333,0.3353070175,0.008973684,76,721.03,KMeans_76,0.9242424242,0.2151515152,1.136363636,0.7358856263,0.7359649123,7.93E-05,0.3055445906,0.3192982456,0.01375365497,76,174.39,KMeans_77,0.916666667,0.236771562,1.25,0.594718644,0.594805195,8.66E-05,0.307559619,0.323376623,0.015817005,KMeans_77,109.3,0.972911362,0.092079443,3.125,0.349182426,0.353799232,0.004616805,0.196964324,0.198063035,0.001098711,19,L,25.15
YouAreOnlyOne/CommunityInformationForWeb,163,23,7163,2,1,JavaScript,2,0,YouAreOnlyOne,CommunityInformationForWeb,KMeans_79,0.5602321921,0.9067099567,1,0.8649491955,0.864978903,2.97E-05,0.1275086552,0.167721519,0.04021286379,79,389.72,KMeans_79,0.5602321921,0.9067099567,1,0.8767634361,0.8767932489,2.98E-05,0.1128178081,0.15021097,0.037393162,79,113.32,KMeans_71,0.560232192,0.906709957,1,0.902612959,0.902660407,4.74E-05,0.089939638,0.150234742,0.060295104,KMeans_71,69.38,0.468770292,0.475554538,2.75,0.538127209,0.538830064,0.000702855,0.216139949,0.222122322,0.005982373,17,L,25.39
gvSIGAssociation/gvsig-web,127,51,6145,2,0,JavaScript,13,0,gvSIGAssociation,gvsig-web,KMeans_36,0.6177322677,0.7891770687,1,0.8377639204,0.837962963,0.000199043,0.1528262787,0.2032407407,0.05041446208,36,273.28,KMeans_44,0.6177322677,0.7891770687,1,0.8483596971,0.8484848485,0.000125151,0.1254844961,0.1856060606,0.060121564,44,84.56,KMeans_61,0.617732268,0.789177069,1,0.983542954,0.983606557,6.36E-05,-0.088979964,0.032786885,0.121766849,KMeans_61,46.74,0.638775442,0.286579791,2.2,0.377963849,0.398372012,0.020408163,0.171135168,0.185650002,0.014514834,7,L,24.44
hongqiang/shopb2b,465,91,3060,2,1,Java,4,0,hongqiang,shopb2b,KMeans_78,0.4649211485,0.3027334148,2.444444444,0.6546551221,0.6546917156,3.66E-05,0.2257820621,0.231990506,0.006208444,78,1548.66,KMeans_76,0.4800603229,0.2818464593,2,0.5875838684,0.5876470262,6.32E-05,0.2147338925,0.2238865849,0.009152692,76,367.04,KMeans_68,0.499721575,0.251409393,1.725490196,0.587444963,0.587581205,0.000136242,0.193289965,0.231960983,0.038671018,KMeans_68,189.01,0.602249491,0.158512841,7.333333333,0.327751555,0.329673893,0.001922338,0.174741247,0.181767619,0.007026371,18,L,29.92
AaronSum/hotel-mgr-sys,498,31,5100,2,2,Java,1,0,AaronSum,hotel-mgr-sys,KMeans_73,0.5236594626,0.5489550302,4.5,0.2726227799,0.2728393911,0.000216611,0.301963451,0.3026372615,0.00067381,73,2066.64,KMeans_76,0.5637784719,0.6113064747,6.75,0.2695599562,0.2697724523,0.000212496,0.3120173257,0.3123712429,0.000353917,76,558.11,KMeans_72,0.540562482,0.599093495,1.8,0.268225355,0.268393574,0.000168219,0.237298887,0.249436415,0.012137528,KMeans_72,526.35,0.550742209,0.416578526,3.375,0.255802454,0.256236133,0.000433679,0.248932979,0.250095524,0.001162545,51,L,36.2
amit-an/webapp_war_sample,334,105,7994,2,2,Java,0,0,amit-an,webapp_war_sample,KMeans_77,0.7493092299,0.721898883,1.592592593,0.8101049762,0.8101834673,7.85E-05,0.1155176248,0.137682952,0.02216532719,77,672.53,KMeans_72,0.683325165,0.6228166095,1.622641509,0.7721196681,0.772222222,0.000102554,0.155011234,0.1861607143,0.03114948,72,164.12,KMeans_73,0.672095238,0.626707483,1.72,0.789614486,0.789705272,9.08E-05,0.053231628,0.131718852,0.078487224,KMeans_73,125.48,0.714341122,0.603693063,5.733333333,0.364921384,0.374797927,0.009876543,0.144142229,0.15721261,0.013070381,10,L,26.36
SupermePower/zammc-manage,119,18,4059,2,0,JavaScript,1,0,SupermePower,zammc-manage,KMeans_56,0.5556022409,1,1,0.7915701074,0.7916666667,9.66E-05,0.2434659091,0.2767857143,0.033319805,56,360.61,KMeans_59,0.5556022409,1,1,0.790871298,0.790960452,8.92E-05,0.2199615235,0.2556497175,0.035688194,59,107.33,KMeans_57,0.555602241,1,1,0.807430615,0.807549176,0.000118561,0.161775968,0.219298246,0.057522278,KMeans_57,82.43,0.386009445,0.736717828,1.545454545,0.381811025,0.394437288,0.012626263,0.213074161,0.218266188,0.005192027,12,L,24.66
dtdhehe/ptu-life,66,12,5615,2,0,HTML,0,0,dtdhehe,ptu-life,KMeans_28,0.893939394,0.8515151515,1.090909091,0.9042859942,0.9047619048,0.000475911,0.052505879,0.2142857143,0.1617798354,28,229.52,KMeans_31,0.9097222222,0.8625,1,0.8705746329,0.8709677419,0.000393109,0.075,0.2419354839,0.1669354839,31,67.29,KMeans_32,0.856060606,0.85,1.090909091,8.95E-01,0.895833333,0.000373959,-0.049171147,0.177083333,0.22625448,KMeans_32,34.43,0.733928571,0.626955782,1.5,0.551529324,0.570661977,0.019132653,0.266398359,0.301808261,0.035409903,8,L,23.6
lancelee98/PeopleMange,182,22,5014,2,1,Java,0,0,lancelee98,PeopleMange,KMeans_72,0.8541144528,0.577371459,1,0.8796115679,0.8796296296,1.81E-05,0.1204627456,0.1643518519,0.043889106,72,372.39,KMeans_79,0.8541144528,0.577371459,1,0.8987193235,0.8987341772,1.49E-05,0.1067023694,0.1455696203,0.03886725089,79,109.57,KMeans_79,0.854114453,0.577371459,1,0.893654768,0.893670886,1.61E-05,-0.000992643,0.062447257,0.0634399,KMeans_79,84.28,0.811209173,0.219302266,1.117647059,0.41742464,0.417665131,0.00024049,0.311788823,0.344393241,0.032604418,31,L,24.41
jeezhau/ec-server,149,20,1244,2,0,Java,1,0,jeezhau,ec-server,KMeans_71,0.7669701214,0.6588093234,1,0.7914833872,0.7915492958,6.59E-05,0.1672427901,0.2462441315,0.079001341,71,467.33,KMeans_71,0.7669701214,0.6588093234,1,0.730915959,0.7309859155,7.00E-05,0.2112279231,0.3,0.088772077,71,137.77,KMeans_69,0.766970121,0.658809323,1,0.782531112,0.782608696,7.76E-05,0.039112082,0.207729469,0.168617387,KMeans_69,119.72,0.639422217,0.10904349,2.125,0.467427976,0.470688451,0.003260476,0.228888104,0.245864754,0.01697665,14,L,26.83
litbo/hospitalzj,185,26,6518,2,0,JavaScript,0,0,litbo,hospitalzj,KMeans_60,0.6058316683,0.8786365916,1,0.8243949695,0.8244444444,4.95E-05,0.3307328939,0.3433333333,0.012600439,60,458.15,KMeans_58,0.6058316683,0.8786365916,1,0.759713022,0.7597701149,5.71E-05,0.400610002,0.4123563218,0.01174631982,58,122.21,KMeans_51,0.605831668,0.878636592,1,0.682272972,0.682352941,8.00E-05,0.406602397,0.417647059,0.011044662,KMeans_51,104.54,0.536797619,0.604651361,1.3,0.565008765,0.565981948,0.000973183,0.257888646,0.258498473,0.000609827,17,L,24.25
fawks96/pet-hospital,74,11,28850,2,1,Java,0,5,fawks96,pet-hospital,KMeans_37,0.7142857143,0.7182539683,1,0.7176574902,0.718146718,0.000489228,0.2579514038,0.25997426,0.002022856,37,318.53,KMeans_34,0.7142857143,0.7182539683,1,0.6680968223,0.668627451,0.000530629,0.3501435928,0.3529411765,0.002797584,34,100.77,KMeans_37,0.714285714,0.718253968,1,6.55E-01,0.655855856,0.00041032,0.418335002,0.422522523,0.004187521,KMeans_37,55.82,0.69047619,0.527777778,1,0.326876115,0.333286372,0.006410256,0.259067499,0.259122288,5.48E-05,13,L,23.54
xabaohui/zis,553,135,1591,2,1,Java,1,24,xabaohui,zis,KMeans_79,0.6392919935,0.6817638674,1.489795918,0.6306536921,0.6306797125,2.60E-05,0.294076043,0.3006690577,0.006593015,79,1426.97,KMeans_79,0.618713855,0.6674209432,1.489795918,0.6196924605,0.6197185862,2.61E-05,0.2919402565,0.2995530628,0.007612806,79,333.11,KMeans_78,0.572048889,0.664249916,1.46,0.623375782,0.623422244,4.65E-05,0.252978419,0.273579661,0.020601242,KMeans_78,288.03,0.7815007,0.532061544,3.173913043,0.528570582,0.528981693,0.000411111,0.298968251,0.300187203,0.001218953,25,L,29.77
RoyZeng/gmhx,402,60,3584,2,2,Java,1,0,RoyZeng,gmhx,KMeans_79,0.7268883878,0.927544963,1.71875,0.7183780603,0.718446008,6.79E-05,0.3500012715,0.3516504607,0.001649189,79,1549.66,KMeans_79,0.7256468474,0.934310568,1.833333333,0.736905379,0.7369825974,7.72E-05,0.3561330004,0.3583427324,0.002209732,79,388.95,KMeans_78,0.747903548,0.913178116,1.25,0.569574043,0.569623278,4.92E-05,0.252248011,0.274576594,0.022328583,KMeans_78,329.62,0.747423547,0.402698948,2.894736842,0.506185697,0.506576766,0.000391069,0.22895936,0.230845094,0.001885733,30,L,39.79
