name,classes,controllers,size,stars,forks,language,subscribers,open_issues,user,repo,gpt_Clustering_Method,gpt_CHM,gpt_CHD,gpt_IFN,gpt_CMQ,gpt_ccoh,gpt_ccop,gpt_SMQ,gpt_scoh,gpt_scop,gpt_SERVICES,gpt_time,o_Clustering_Method,o_CHM,o_CHD,o_IFN,o_CMQ,o_ccoh,o_ccop,o_SMQ,o_scoh,o_scop,o_SERVICES,o_time,Clustering_Method,W_CHM,W_CHD,W_IFN,W_CMQ,W_ccoh,W_ccop,W_SMQ,W_scoh,W_scop,W_SERVICES,W_time,t_CHM,t_CHD,t_IFN,t_CMQ,t_ccoh,t_ccop,t_SMQ,t_scoh,t_scop,t_SERVICES,t_clustering_names,t_time
Jannchie/biliob_backend,200,22,1111,37,11,Java,0,4,Jannchie,biliob_backend,KMeans_77,0.6900966184,0.7766045549,1,0.7940107446,0.7940181031,7.36E-06,0.2837418529,0.2907910272,0.007049174,77,621.43,KMeans_73,0.6900966184,0.7766045549,1,0.7509809475,0.7509893455,8.40E-06,0.2902310058,0.299695586,0.00946458,73,144.79,KMeans_61,0.660858586,0.736147186,1.045454545,0.686615123,0.686633039,1.79E-05,0.307353967,0.329160457,0.02180649,KMeans_61,105.75,0.788305928,0.596064057,1.533333333,0.594421628,0.594605412,0.000183785,0.356970184,0.358088057,0.001117873,24,L,25.79
Lotharing/SDIMS,112,20,799,34,7,Java,0,6,Lotharing,SDIMS,KMeans_50,1,0.7000146199,1,0.75641877,0.7566666667,2.48E-04,0.1678826531,0.2316666667,0.063784014,50,338.22,KMeans_54,1,0.7000146199,1,0.8465163903,0.8467078189,1.91E-04,0.1047134224,0.1828703704,0.078156948,54,94.59,KMeans_56,1,0.685438596,1.052631579,0.940286024,0.94047619,0.000190167,-0.040719697,0.09077381,0.131493506,KMeans_56,54.42,0.949496658,0.288931853,2,0.238810705,0.338810705,0.1,0.091361297,0.123838725,0.032477428,5,L,23.99
kanban/kanban-app,140,12,1380,34,23,Java,9,5,kanban,kanban-app,KMeans_29,0.6385561037,0.921928924,1,0.8641622,0.864295666,1.33E-04,0.1546359531,0.1812335174,0.02659756431,29,318.49,KMeans_54,0.6385561037,0.921928924,1,0.944400494,0.9444444444,4.40E-05,0.067813883,0.1358024691,0.067988586,54,86.33,KMeans_70,0.638556104,0.921928924,1,0.98568668,0.985714286,2.76E-05,-0.123291925,0,0.123291925,KMeans_70,51.26,0.411368209,0.28964346,3,0.189569161,0.205442177,0.015873016,0.187724868,0.227777778,0.04005291,7,L,24.35
cloudfoundry-attic/login-server,133,23,7777,32,52,Java,77,3,cloudfoundry-attic,login-server,KMeans_40,0.8222222222,0.829657477,1,0.9749276792,0.975,7.23E-05,0.1036324786,0.1333333333,0.029700855,40,262.57,KMeans_42,0.8222222222,0.829657477,1,0.9681865211,0.9682539683,6.74E-05,0.087591947,0.119047619,0.031455672,42,68.4,KMeans_45,0.822222222,0.829657477,1,0.940677482,0.940740741,6.33E-05,0.045538721,0.077777778,0.032239057,KMeans_45,36.33,0.745076426,0.457142857,1,0.420163469,0.421052632,0.000889162,0.357927225,0.387719298,0.029792073,19,L,24.36
tangdu/smh2,111,25,92244,27,22,JavaScript,7,0,tangdu,smh2,KMeans_54,0.7009560939,0.879337232,1.222222222,0.8178504474,0.8179012346,5.08E-05,0.226783912,0.2561728395,0.029388928,54,388.36,KMeans_53,0.6926523606,0.879337232,1.222222222,0.8766726842,0.8767295597,5.69E-05,0.2153039832,0.2449685535,0.02966457023,53,112.3,KMeans_49,0.699484127,0.88781746,1.1,0.779380119,0.779478458,9.83E-05,0.20680587,0.256802721,0.049996851,KMeans_49,86.41,0.61174532,0.582036482,2.444444444,0.389767202,0.395940042,0.00617284,0.271115496,0.276058912,0.004943416,9,L,24.42
qiao-zhi/jwxt,595,76,25888,26,8,Java,7,2,qiao-zhi,jwxt,KMeans_76,0.5550003398,0.8116129897,1.631578947,0.3274555817,0.3276730025,0.000217421,0.2222833255,0.2224364379,0.000153112,76,2954.52,KMeans_77,0.5187838119,0.7451834116,2.48,0.326792315,0.3270094505,0.000217135,0.2508989948,0.2510312147,0.00013222,77,698.79,KMeans_73,0.563696669,0.745429322,1.512195122,0.284747633,0.284987411,0.000239778,0.194606688,0.196760482,0.002153794,KMeans_73,462.67,0.627591459,0.720548881,1.722222222,0.336224298,0.336485665,0.000261367,0.22658269,0.226763786,0.000181096,71,L,34.91
shuxianfeng/movision,886,80,33626,21,20,Java,2,0,shuxianfeng,movision,KMeans_74,0.9896631016,0.6077760175,8.875,0.5177115798,0.5177446143,3.30E-05,0.3170401003,0.318627871,0.001587771,74,2724.56,KMeans_77,0.9670400952,0.6471553288,10.14285714,0.5216438068,0.5216765115,3.27E-05,0.3294442531,0.3308060648,0.001361812,77,637.99,KMeans_72,0.94805179,0.453635142,4.4375,0.354105727,0.354129759,2.40E-05,0.201692707,0.226197181,0.024504474,KMeans_72,385.38,0.969817424,0.388683461,4.4375,0.440965572,0.44100359,3.80E-05,0.2171688,0.218734173,0.001565373,43,L,39.08
leluque/university-site-cms,254,23,35036,21,13,JavaScript,8,9,leluque,university-site-cms,KMeans_79,0.6509935897,0.827797515,1,0.8083127574,0.8083383564,2.56E-05,0.2237983292,0.2377687362,0.013970407,79,705.86,KMeans_76,0.6390364265,0.8181504067,1.111111111,0.7918441279,0.7918755221,3.14E-05,0.1898887729,0.2039317043,0.0140429314,76,160.79,KMeans_61,0.643630444,0.812384144,1.111111111,0.689479458,0.689531416,5.20E-05,0.230526509,0.258261775,0.027735265,KMeans_61,86.35,0.61224347,0.61273346,1.818181818,0.511192291,0.513136735,0.001944444,0.223447776,0.226309083,0.002861307,16,L,25.03
ghostxbh/uzy-ssm-mall,89,19,10103,19,11,Java,1,0,ghostxbh,uzy-ssm-mall,KMeans_44,0.8091478697,0.7950447683,1.285714286,0.8392307956,0.8393939394,1.63E-04,0.2195002349,0.2757575758,0.056257341,44,324.69,KMeans_42,0.824093567,0.8087393146,1.2,0.7855281315,0.7857142857,1.86E-04,0.2568557233,0.3174603175,0.060604594,42,96.28,KMeans_39,0.76162465,0.741841943,1.5,0.801419827,0.801709402,0.000289575,0.123248426,0.221367521,0.098119096,KMeans_39,54.44,0.640299665,0.464090012,3.6,0.589422043,0.593866487,0.004444444,0.286812052,0.302374552,0.0155625,10,L,24.25
kai8406/cmop,237,34,17904,17,13,Java,8,1,kai8406,cmop,KMeans_78,0.7630070547,0.8058201058,1.259259259,0.7996071842,0.799632134,2.50E-05,0.1637181525,0.1892309258,0.02551277332,78,747.76,KMeans_75,0.7606450983,0.8154624227,1.259259259,0.7414474583,0.7414814815,3.40E-05,0.1909830904,0.2253063973,0.034323307,75,177.82,KMeans_76,0.717532468,0.75638929,1.259259259,0.709327239,0.709385965,5.87E-05,0.058642675,0.23377193,0.175129255,KMeans_76,142.45,0.691294133,0.391218547,2.266666667,0.451470717,0.456521222,0.005050505,0.185839034,0.21094487,0.025105836,12,L,28.38
mozammel/mNet,148,21,2666,15,14,JavaScript,13,3,mozammel,mNet,KMeans_66,0.6622635081,0.764405193,1,0.951991295,0.952020202,2.89E-05,0.1600265475,0.1944444444,0.034417897,66,407.05,KMeans_64,0.6622635081,0.764405193,1,0.8984050217,0.8984375,3.25E-05,0.208901703,0.2330729167,0.02417121362,64,107.58,KMeans_72,0.662263508,0.764405193,1,0.902748542,0.902777778,2.92E-05,0.013731308,0.106481481,0.092750174,KMeans_72,72.68,0.664471439,0.474804796,1.285714286,0.411835704,0.413196248,0.001360544,0.255453535,0.26105905,0.005605515,15,L,24.34
