name,classes,controllers,size,stars,forks,language,subscribers,open_issues,user,repo,b_RESOLUTION,b_CHM,b_CHD,b_IFN,b_CMQ,b_ccoh,b_ccop,b_SMQ,b_scoh,b_scop,b_SERVICES,b_time,o_Clustering_Method,o_CHM,o_CHD,o_IFN,o_CMQ,o_ccoh,o_ccop,o_SMQ,o_scoh,o_scop,o_SERVICES,o_time,m_Clustering_Method,m_CHM,m_CHD,m_IFN,m_CMQ,m_ccoh,m_ccop,m_SMQ,m_scoh,m_scop,m_SERVICES,m_time
GZzzhsmart/P2Pproj,275,42,98201,13,8,JavaScript,1,4,GZzzhsmart,P2Pproj,0.3,0.371692667,0.365624389,1.285714286,0.482539109,0.482751033,0.000211924,0.167977637,0.189355314,0.021377677,37,,KMeans_78,0.512502684,0.669534422,1.15625,0.667653933,0.667685093,3.12E-05,0.395598189,0.403764291,0.008166102,78,188.98,136,0.506714344,0.539651432,0,-0.00028901,0,0,0.041803358,0,0,136,1243.43
HIIT/dime-server,91,12,97425,13,7,Java,27,23,HIIT,dime-server,0.3,0.383201283,0.711820057,1.333333333,0.271747836,0.272650613,0.000902778,0.123835816,0.150804924,0.026969108,16,,KMeans_45,0.554617331,0.859835248,1,0.699221508,0.699259259,3.78E-05,0.16581229,0.191851852,0.026039562,45,108.62,42,0.604126777,0.632548086,0,-0.003994927,0,0,0.10766844,0,0,42,249.7
doooyo/Weixin_Server,303,32,4538,13,11,Java,4,0,doooyo,Weixin_Server,0.3,0.796872033,0.87888139,1.583333333,0.342828916,0.343528916,0.0007,0.224969299,0.251030525,0.026061226,25,,KMeans_75,0.858965583,0.871853033,1.1875,0.731090723,0.731111111,2.04E-05,0.231706707,0.273333333,0.041626627,75,138.1,135,0.485446545,0.510008572,0,-0.000355673,0,0,0.051449345,0,0,135,1508.38
fishstormX/fishmaple,173,21,5532,11,1,JavaScript,2,6,fishstormX,fishmaple,0.3,0.536837299,0.547448234,1.2,0.418332764,0.418426501,9.37E-05,0.28757602,0.300362319,0.012786299,23,,KMeans_73,0.850566893,0.817888637,1,0.758894843,0.75890411,9.27E-06,0.216140813,0.253881279,0.037740466,73,116.08,73,0.490095278,0.412772916,0,-0.000643026,0,0,0.049852392,0,0,73,577.5
opendevstack/ods-provisioning-app,146,11,1516,11,15,Java,26,47,opendevstack,ods-provisioning-app,0.3,0.435591369,0.075878692,1,0.387468183,0.388220551,0.000752368,0.269438974,0.292105263,0.022666289,19,,KMeans_73,0.448958333,0.554672619,1,0.898874557,0.898891063,1.65E-05,0.110243622,0.151663405,0.041419783,73,107.77,26,0.530586844,0.543615962,0,-0.000553893,0,0,0.051787482,0,0,26,881.95
starqiu/RDMP1,60,30,24114,10,12,Java,5,0,starqiu,RDMP1,0.4,0.901992754,0.862128147,1.25,0.244784581,0.249319728,0.004535147,0.207171202,0.29744898,0.090277778,7,,KMeans_16,0.6,0.654285714,1,0.686458333,0.6875,0.001041667,0.181481482,0.28125,0.099768519,16,43.13,26,0.54697377,0.630342495,0,-0.000954735,0,0,0.025978861,0,0,26,148.9
yorkmass/Yark-AdminMS,69,12,41214,9,0,JavaScript,1,1,yorkmass,Yark-AdminMS,0.3,0.472928154,0.697316026,1.1,0.327891157,0.32952381,0.001632653,0.191360544,0.248888889,0.057528345,15,,KMeans_31,0.619642857,0.66847194,1,0.827795121,0.827956989,0.000161868,0.108422939,0.180107527,0.071684588,31,54.24,26,0.475159915,0.606803473,0,-0.001502208,0,0,0.035682443,0,0,26,163.74
768330962/poet_ready_system,57,14,1629,8,5,HTML,0,3,768330962,poet_ready_system,0.3,0.780889286,0.342582496,1,0.827778449,0.833333333,0.005554885,0.141826923,0.297619048,0.155792125,14,,KMeans_15,0.940476191,0.471851436,1,0.884353742,0.888888889,0.004535147,0.309126984,0.338888889,0.029761905,15,61.3,23,0.443906809,0.509902943,0,-0.000684552,0,0,0.035893294,0,0,23,152.27
suyeq/steamMall,120,13,6524,8,2,CSS,2,2,suyeq,steamMall,0.3,0.72151927,0.631499844,1.090909091,0.522372049,0.523452381,0.001080332,0.247096874,0.275459957,0.028363083,20,,KMeans_60,0.977941177,0.670787599,1,0.808832392,0.808888889,5.65E-05,0.175559087,0.220833333,0.045274247,60,112.29,51,0.465561158,0.604576701,0,-0.001314519,0,0,0.038775706,0,0,51,417.43
zlren/noah-health,86,12,320,8,6,Java,3,0,zlren,noah-health,0.3,0.725028058,0.945648902,1.222222222,0.408979592,0.413333333,0.004353741,-0.073770786,0.310793651,0.384564437,15,,KMeans_29,0.906073724,0.967471822,1,0.863973485,0.864367816,0.000394331,0.176939655,0.273563218,0.096623563,29,76.53,26,0.523102713,0.600952907,0,-6.99E-05,0,0,0.091009462,0,0,26,229.63
khasang/delivery,218,11,7443,6,6,Java,8,5,khasang,delivery,0.3,0.779920635,0.741486292,1,0.678359819,0.678678403,0.000318585,0.182796052,0.183499433,0.000703381,22,,KMeans_70,0.797698413,0.779264069,1,0.893823853,0.893845285,2.14E-05,0.25368185,0.257287785,0.003605935,70,136.8,92,0.631944994,0.507859274,0,-0.000407992,0,0,0.078005163,0,0,92,780.97
TexnologiaLogismikou/Fiz,199,18,1160,6,0,Java,5,3,TexnologiaLogismikou,Fiz,0.4,0.505681818,0.431349206,1.333333333,0.579931457,0.583820346,0.003888889,0.171909508,0.219832251,0.047922744,16,,KMeans_52,0.728409091,0.731845238,1,0.958863455,0.958974359,0.000110904,0.11293992,0.187179487,0.074239568,52,98.96,63,0.743828558,0.48408025,0,-0.00053884,0,0,0.030641815,0,0,63,1213
wang007/live-server,238,23,6130,6,5,JavaScript,4,0,wang007,live-server,0.3,0.51073965,0.400303445,1.357142857,0.495377585,0.496602075,0.00122449,0.169444915,0.175589358,0.006144442,21,,KMeans_79,0.706547619,0.778936216,1.1,0.753422819,0.753455897,3.31E-05,0.244559748,0.258077155,0.013517407,79,160.34,96,0.545453597,0.589942755,0,-0.000434781,0,0,0.056387904,0,0,96,917.93
zxwgdft/paladin-boot,328,17,97803,6,0,JavaScript,1,0,zxwgdft,paladin-boot,0.4,0.637159715,0.193759019,1,0.278761494,0.279005118,0.000243624,0.112838147,0.119216321,0.006378174,22,,KMeans_75,0.185863095,0.539937642,1,0.674632237,0.674643275,1.10E-05,0.346267688,0.354961571,0.008693882,75,180.57,161,0.518647291,0.564825333,0,-0.000417128,0,0,0.063883012,0,0,161,1461.26
shenshaoming/byte_easy,55,12,13225,5,4,JavaScript,1,0,shenshaoming,byte_easy,0.3,0.291720779,0.533315296,1.166666667,0.509533202,0.512820513,0.003287311,0.148985043,0.307692308,0.158707265,13,,KMeans_19,0.685714286,0.908786848,1,0.910160391,0.912280702,0.002120311,0.145224172,0.236842105,0.091617934,19,43.29,23,0.534046348,0.696278025,0,-5.22E-06,0,0,0.105097944,0,0,23,123.39
nimble-platform/business-process-service,222,47,2798,5,3,Java,5,16,nimble-platform,business-process-service,0.4,0.500632801,0.622452662,1.785714286,0.3579293,0.362165411,0.004236111,0.183014083,0.226906139,0.043892055,16,,KMeans_79,0.763049451,0.72823311,1.038461538,0.872961438,0.872995781,3.43E-05,0.086898419,0.158122363,0.071223944,79,153.88,95,0.423370503,0.537225906,0,-0.000301808,0,0,0.06030411,0,0,95,1262.75
codemky/uni,615,89,1444,5,0,Java,2,2,codemky,uni,0.4,0.297084643,0.515607524,1.652173913,0.268448313,0.269017774,0.000569461,0.140986191,0.144464508,0.003478316,58,,KMeans_76,0.689437999,0.992107904,3.863636364,0.287644583,0.287978594,0.00033401,0.215166564,0.215750063,0.0005835,76,783.16,291,0.468199202,0.507064022,0,-0.000131092,0,0,0.054702183,0,0,291,7241.14
aramsoft/aramcomp,345,72,21307,5,5,Java,1,1,aramsoft,aramcomp,0.3,0.582250539,0.921310747,1.5,0.423553561,0.424290614,0.000737053,0.273468928,0.28440276,0.010933832,43,,KMeans_79,0.675469927,0.918342059,1.120689655,0.565556566,0.565682138,0.000125572,0.327658927,0.347026321,0.019367394,79,242.18,174,0.525740561,0.503316025,0,-0.000302124,0,0,0.058713736,0,0,174,2699.12
bao17634/Warehouse-system,76,13,1787,5,1,JavaScript,1,1,bao17634,Warehouse-system,0.3,0.606619138,0.75418741,1,0.390762656,0.394871795,0.004109139,0.283114316,0.355128205,0.072013889,13,,KMeans_33,0.782275132,0.818570484,1,0.787713786,0.787878788,0.000165002,0.124684343,0.207070707,0.082386364,33,83.05,25,0.446726431,0.587995172,0,-0.000200065,0,0,0.056467983,0,0,25,205.06
shigenwang/membership,153,18,60199,5,7,Java,1,0,shigenwang,membership,0.3,0.66888505,0.778141419,1.166666667,0.259552797,0.263181606,0.003628809,0.178533897,0.185401176,0.006867279,20,,KMeans_76,0.869897959,0.921525753,1.071428571,0.545449563,0.545551378,1.02E-04,0.313685046,0.331296993,0.017611947,76,167,61,0.575748404,0.605945079,0,-0.001002758,0,0,0.033994584,0,0,61,609.41
sfx478076717/goldenarches,56,11,18294,4,0,Java,0,0,sfx478076717,goldenarches,0.3,0.542083333,0.480628464,1,0.521778827,0.526406926,0.004628099,0.197571429,0.281385281,0.083813853,11,,KMeans_23,0.846296296,0.960090703,1.111111111,0.767475407,0.768115942,0.000640535,0.299681599,0.376811594,0.077129996,23,65.96,27,0.502519646,0.604395263,0,-0.001465693,0,0,0.085312463,0,0,27,128.18
dp2-g56/Dp2-L02,245,40,1002,4,1,Java,2,0,dp2-g56,Dp2-L02,0.3,0.740530457,0.271477152,1.888888889,0.360354959,0.361722999,0.00136804,0.15899816,0.197280909,0.03828275,22,,KMeans_77,0.76320647,0.554511732,1.5,0.693101997,0.693207586,0.000105589,0.230872859,0.25197382,0.021100961,77,171.02,94,0.492918815,0.32963378,0,-0.000610738,0,0,0.023029752,0,0,94,1415.06
wangwang1230/te-empl,156,24,29367,4,5,Java,1,0,wangwang1230,te-empl,0.3,0.653025582,0.93642919,2,0.500445312,0.501443001,0.00099769,0.293609539,0.317520443,0.023910903,24,,KMeans_67,0.874900794,0.968339002,1,0.83075065,0.830845771,9.51E-05,0.17076235,0.223880597,0.053118247,67,111.72,72,0.612140431,0.653104012,0,-0.000475919,0,0,0.028297309,0,0,72,537.03
ElectiveTeam/elective_system,97,15,3692,4,0,JavaScript,1,0,ElectiveTeam,elective_system,0.3,0.513318247,0.695999133,1.090909091,0.373030306,0.376220185,0.003189879,0.19286124,0.230379425,0.037518185,17,,KMeans_45,0.664021164,0.935920047,1.083333333,0.672201379,0.672380952,1.80E-04,0.281122335,0.306190476,0.025068142,45,115.27,42,0.490429289,0.571891723,0,-0.001008942,0,0,0.027962583,0,0,42,277.89
